Source,Target,Type,Weight,Stability,SelectedBy
CopyProp,block-placement,Interaction,0.0005381345135900044,0.62,threshold
CopyProp,branch-fold,Interaction,0.0006212067736226357,0.74,threshold
CopyProp,cgp-select2branch,Interaction,-0.0003007008613158982,0.46,threshold
CopyProp,cgp-store-extract,Interaction,0.00021042298899146268,0.48,threshold
CopyProp,early-taildup,Interaction,-0.0013488668130654134,0.9,threshold
CopyProp,ifcvt-triangle,Interaction,0.00028473040396586767,0.42,threshold
CopyProp,ifcvt-triangle-rev,Interaction,0.0007338677008011467,0.6,threshold
CopyProp,loop-idiom-vectorize-all,Interaction,0.0003944468059896587,0.5,threshold
CopyProp,loop-level-heuristics,Interaction,0.0003470510297680995,0.48,threshold
CopyProp,lsr,Interaction,0.0007376738326424369,0.66,threshold
CopyProp,machine-cse,Interaction,-0.0008565779554649732,0.72,threshold
CopyProp,machine-licm,Interaction,-0.00048240000287597465,0.6,threshold
CopyProp,mr-partial-inlining,Interaction,-2.1834924553157017e-05,0.4,threshold
CopyProp,nounwind-inference,Interaction,-9.959484861363047e-05,0.4,threshold
CopyProp,spill-fusing,Interaction,0.0006340880560200279,0.72,threshold
CopyProp,ssc,Interaction,-0.0001501644493366917,0.4,threshold
CopyProp,whole-program-visibility,Interaction,-0.0002438241940138534,0.44,threshold
DataflowConstProp,cfi-fixup,Interaction,0.0003967534764720846,0.46,threshold
DataflowConstProp,cgp,Interaction,0.0005870992934710053,0.66,threshold
DataflowConstProp,cgp-select2branch,Interaction,0.000475155402060624,0.5,threshold
DataflowConstProp,icp,Interaction,-4.466870252402272e-05,0.4,threshold
DataflowConstProp,ifcvt-triangle,Interaction,0.00035013439990920123,0.4,threshold
DataflowConstProp,ifcvt-triangle-rev,Interaction,0.001302396333617856,0.74,threshold
DataflowConstProp,loop-level-heuristics,Interaction,0.00041436948405950357,0.56,threshold
DataflowConstProp,machine-dce,Interaction,-0.00033602647476315556,0.46,threshold
DataflowConstProp,machine-sink,Interaction,-0.00013019717778670102,0.44,threshold
DataflowConstProp,peephole,Interaction,0.000264566888271506,0.42,threshold
DataflowConstProp,phi-elim-edge-splitting,Interaction,-0.0003158041154182829,0.48,threshold
DataflowConstProp,tail-duplicate,Interaction,0.000140304328095597,0.42,threshold
DataflowConstProp,vector-combine,Interaction,-0.00020430114923916133,0.4,threshold
DeadStoreElimination-final,adv-copy-opt,Interaction,-0.0002740093354975885,0.56,threshold
DeadStoreElimination-final,advanced-peeling,Interaction,0.0012041020197594045,0.66,threshold
DeadStoreElimination-final,bitcode-version-upgrade,Interaction,-0.00033169816392639254,0.58,threshold
DeadStoreElimination-final,cgdata-for-merging,Interaction,0.0005343046124215188,0.62,threshold
DeadStoreElimination-final,cgp-ext-ld-promotion,Interaction,-0.0003396202439477577,0.46,threshold
DeadStoreElimination-final,chr,Interaction,0.0006434893204516462,0.66,threshold
DeadStoreElimination-final,complex-addr-modes,Interaction,0.00031480461332565574,0.44,threshold
DeadStoreElimination-final,constant-hoisting,Interaction,-0.000764198778199898,0.88,threshold
DeadStoreElimination-final,copyprop,Interaction,3.765218089736078e-05,0.4,threshold
DeadStoreElimination-final,demotion,Interaction,0.0004441870915093136,0.54,threshold
DeadStoreElimination-final,dfa-sched,Interaction,0.00023700786551623162,0.44,threshold
DeadStoreElimination-final,early-ifcvt,Interaction,0.0008516733007996933,0.62,threshold
DeadStoreElimination-final,early-taildup,Interaction,0.0014957051453095263,0.8,threshold
DeadStoreElimination-final,gep-const-evaluation,Interaction,-0.00048168589709917894,0.48,threshold
DeadStoreElimination-final,icp,Interaction,-0.0005093938423451358,0.58,threshold
DeadStoreElimination-final,ifcvt-simple,Interaction,-0.00010634525031471595,0.42,threshold
DeadStoreElimination-final,ifcvt-simple-false,Interaction,0.0006469879783875833,0.74,threshold
DeadStoreElimination-final,ifcvt-triangle,Interaction,0.00024133354845327497,0.46,threshold
DeadStoreElimination-final,ifcvt-triangle-false,Interaction,-0.0005447258293368049,0.56,threshold
DeadStoreElimination-final,lftr,Interaction,0.0003292613802185956,0.46,threshold
DeadStoreElimination-final,lsr,Interaction,0.0007943190572688891,0.68,threshold
DeadStoreElimination-final,mergeicmps,Interaction,0.0006329467182430138,0.48,threshold
DeadStoreElimination-final,mr-partial-inlining,Interaction,-0.0003724970134414163,0.5,threshold
DeadStoreElimination-final,nounwind-inference,Interaction,-0.00023086106124727972,0.4,threshold
DeadStoreElimination-final,ondemand-mds-loading,Interaction,0.0006055954204408342,0.52,threshold
DeadStoreElimination-final,partial-inlining,Interaction,-0.0004994214342915414,0.7,threshold
DeadStoreElimination-final,partial-libcall-inlining,Interaction,0.0004965019968953513,0.5,threshold
DeadStoreElimination-final,postra-machine-sink,Interaction,-0.0003512230359317709,0.58,threshold
DeadStoreElimination-final,ra-fsprofile-loader,Interaction,0.0006999422113625192,0.72,threshold
DeadStoreElimination-final,select-optimize,Interaction,-0.0004925022164371963,0.58,threshold
DeadStoreElimination-final,spill-fusing,Interaction,0.0006214113147484168,0.64,threshold
DeadStoreElimination-final,thinlto-funcattrs,Interaction,0.002379741079312093,0.92,threshold
DeadStoreElimination-final,type-promotion,Interaction,0.00038906073729832444,0.52,threshold
DeadStoreElimination-final,vp,Interaction,0.0005430286537195318,0.56,threshold
DeadStoreElimination-initial,binop-extract-shuffle,Interaction,0.00028080636559570717,0.42,threshold
DeadStoreElimination-initial,branch-fold,Interaction,-0.00090932099961102,0.74,threshold
DeadStoreElimination-initial,cfi-fixup,Interaction,0.00039312717389940394,0.46,threshold
DeadStoreElimination-initial,cgp-delete-phis,Interaction,0.00019173552495145045,0.42,threshold
DeadStoreElimination-initial,cgp-ext-ld-promotion,Interaction,0.00028257559437451784,0.46,threshold
DeadStoreElimination-initial,cgp-select2branch,Interaction,0.0003845957997603164,0.56,threshold
DeadStoreElimination-initial,cleanups,Interaction,0.0005933021004517133,0.54,threshold
DeadStoreElimination-initial,demotion,Interaction,0.0005766196862045183,0.56,threshold
DeadStoreElimination-initial,dfa-sched,Interaction,0.0005944311884238085,0.46,threshold
DeadStoreElimination-initial,expand-reductions,Interaction,-0.00027509384353725656,0.46,threshold
DeadStoreElimination-initial,gep-const-evaluation,Interaction,0.0003129893288065407,0.5,threshold
DeadStoreElimination-initial,global-outlining,Interaction,-0.0007726424857361967,0.72,threshold
DeadStoreElimination-initial,i2p-p2i-opt,Interaction,0.0003730848405745294,0.46,threshold
DeadStoreElimination-initial,ifcvt-simple,Interaction,-0.0001608530834224387,0.46,threshold
DeadStoreElimination-initial,ifcvt-simple-false,Interaction,0.0005277687031478875,0.58,threshold
DeadStoreElimination-initial,ifcvt-triangle,Interaction,0.0005877047472670279,0.72,threshold
DeadStoreElimination-initial,ifcvt-triangle-false,Interaction,0.0016093027075510685,0.76,threshold
DeadStoreElimination-initial,interleaved-load-combine,Interaction,-0.0009230770462562521,0.88,threshold
DeadStoreElimination-initial,last-run-tracking,Interaction,0.0003980047590597485,0.42,threshold
DeadStoreElimination-initial,lftr,Interaction,-0.00037374858844163106,0.44,threshold
DeadStoreElimination-initial,licm-promotion,Interaction,-0.0006750968639358322,0.68,threshold
DeadStoreElimination-initial,lsr,Interaction,-0.0011487829127426838,0.88,threshold
DeadStoreElimination-initial,machine-cse,Interaction,0.001734536182285289,0.84,threshold
DeadStoreElimination-initial,machine-dce,Interaction,0.003082779900962323,0.94,threshold
DeadStoreElimination-initial,machine-licm,Interaction,-0.0008082380899482896,0.68,threshold
DeadStoreElimination-initial,memop-opt,Interaction,0.0023884128380413593,0.94,threshold
DeadStoreElimination-initial,mergeicmps,Interaction,0.00032979559237073295,0.4,threshold
DeadStoreElimination-initial,mr-partial-inlining,Interaction,1.1232413490880316e-05,0.4,threshold
DeadStoreElimination-initial,ondemand-mds-loading,Interaction,-0.00031877697940814914,0.5,threshold
DeadStoreElimination-initial,partial-inlining,Interaction,-0.00032256483336989854,0.52,threshold
DeadStoreElimination-initial,partial-libcall-inlining,Interaction,-0.0005265450154274587,0.58,threshold
DeadStoreElimination-initial,post-ra,Interaction,0.00011941171685070067,0.48,threshold
DeadStoreElimination-initial,postra-machine-licm,Interaction,3.8071206450780376e-05,0.54,threshold
DeadStoreElimination-initial,postra-machine-sink,Interaction,0.0011053971550564604,0.72,threshold
DeadStoreElimination-initial,preinline,Interaction,0.0006284247966411816,0.58,threshold
DeadStoreElimination-initial,ra-fsprofile-loader,Interaction,0.0003890266622014458,0.46,threshold
DeadStoreElimination-initial,replace-with-vec-lib,Interaction,0.0006915441431931507,0.52,threshold
DeadStoreElimination-initial,select-optimize,Interaction,0.00039264839169629806,0.52,threshold
DeadStoreElimination-initial,spill-fusing,Interaction,-0.00033957796860752614,0.54,threshold
DeadStoreElimination-initial,strictnode-mutation,Interaction,0.0010540262131136934,0.62,threshold
DeadStoreElimination-initial,vector-combine,Interaction,-0.00041136813887477844,0.54,threshold
DeadStoreElimination-initial,whole-program-visibility,Interaction,-0.0001562713253786991,0.4,threshold
DestinationPropagation,2addr-hack,Interaction,-0.00031978591185863493,0.42,threshold
DestinationPropagation,adv-copy-opt,Interaction,-0.0006827510273613929,0.74,threshold
DestinationPropagation,cfi-fixup,Interaction,-0.0005867611954897166,0.62,threshold
DestinationPropagation,cgdata-for-merging,Interaction,0.0014459258507607217,0.74,threshold
DestinationPropagation,cgp-delete-phis,Interaction,0.00029750072371259725,0.4,threshold
DestinationPropagation,complex-addr-modes,Interaction,0.0009910615723738028,0.66,threshold
DestinationPropagation,constant-hoisting,Interaction,-0.0003624524458671702,0.54,threshold
DestinationPropagation,copyprop,Interaction,0.000353920506988382,0.46,threshold
DestinationPropagation,dfa-sched,Interaction,0.00038510665786058856,0.46,threshold
DestinationPropagation,early-taildup,Interaction,0.0007410359293756763,0.76,threshold
DestinationPropagation,expand-reductions,Interaction,0.00012016463425936414,0.4,threshold
DestinationPropagation,global-outlining,Interaction,-0.00026916796124387373,0.46,threshold
DestinationPropagation,i2p-p2i-opt,Interaction,0.0006223230459413053,0.66,threshold
DestinationPropagation,ifcvt-simple,Interaction,1.1071585358035235e-05,0.44,threshold
DestinationPropagation,ifcvt-triangle-rev,Interaction,-0.0006818815586743262,0.72,threshold
